"name","phoneNumber","address","rating","reviews","services"
"Smart Dhobi Express Laundry","070045 38727","#673, 9th Main Rd, Sector 7, HSR Layout, Bengaluru, Karnataka 560102","4.3","240","Services: Quilt cleaning,Ironing,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Delivery,Dry cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Bulk Washing Services,Cleaning Process,Delivery Services,Dry Cleaning Services,Express Laundry,Fabric Conditioner,Individual Packing,Normal Cleaning,Normal Wash,Premium Laundry,Regular Wash,Spot Treatment,Stain Removal,Wash & Fold,Wash & Iron,Wash Your Clothes,premium laundry"
"Washho - Laundry | Dry clean & Home cleaning Services","062870 92973","Gate No 3, KP & MG Tower, Opposite Foyer Infinty Pattandur Agrahara Main Road, ITPL Main Rd, Whitefield, Bengaluru, Karnataka 560066","4.1","942","Services: Interior and exterior window cleaning,Deep clean,Office and workplace cleaning,Mattress cleaning,Moving-related cleaning,Standard cleaning,Appliance Cleaning,Balcony Cleaning,Bathroom Fittings,Bathroom Floor,Bathroom Floors,Bed Bugs Control,Body Polish,Brush Cleaning,Cabinets Cleaning,Car Cleaning,Car Cleaning Service,Car Wash,Ceiling Fans,Cleaning Car,Cleaning Interior,Cleaning Service In Chennai,Cleaning Solutions,Complete Cleaning,Corner Cleaning,Dashboard Polish,Dining Room,Exterior Cleaning,Exterior Painting,External Cleaning,Floor Scrubbing,Foam Wash,Fridge Cleaning,Fumigation & Sanitisation,General Cleaning,Home Cleaning Service In Mumbai,Home Furnishings,Home Painting,Industrial Washing,Interior Cleaning,Interior Painting,Kitchen Cleaning,Laundry & Dry Cleaning,Laundry And Dry Cleaning,Laundry And Ironing,Laundry Delivery,Light Fittings,Mattress Cleaning,Party Service,Party Services,Pest Control,Pest Control Treatment,Pest Removal,Pickup & Drop,Premium Dry Cleaning,Recurring Clean,Regular Cleaning,Roof Cleaning,Sanitisation Home,Sanitization Service,Scratches Removal,Sofa Shampooing,Sofa/Carpet Cleaning,Space Cleaning,Stain Removal,Steam Ironing,Termite Control,Urgent Service,Vaccum Cleaner,Vacuum Cleaner,Vacuum Cleaning,Wall Cleaning,Wall Painting,Wash & Fold,Wash & Iron,Washing Machine,Quilt cleaning,Ironing,General clothes drying,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Dry cleaning,Bathroom Cleaning,Business Laundry,Chemical Wash,Cleaning And Ironing,Cleaning Cleaning,Clothing Cleaning,Custom Cleaning,Customer Support,Dry Cleaners,Dry Cleaning Service In Bangalore,Dry Wash & Iron,Express Service,Full Home Deep Cleaning,Home/Office Cleaning,Home/Office Sanitisation,Ironing Clothes,Laundry & Dry Cleaning Service,Laundry Service In Bangalore,Online Laundry Service,Personalized Service,Premium Fabric Care,Regular Clothes,Regular Laundry Services,Sofa / Carpet Cleaning,Specialized Care,Standard Laundry,Wash My Clothes"
"Wash n Wear - Laundry in 1 hour","092430 80984","RK Avenue ,356, 14th B Cross, 6th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102","4.5","317","Services: General clothes drying,Laundry wash and fold,Self-service laundry,Delivery,Bulk Wash,Express Laundry Service,Others Clean,Wash,Washed Clothes"
"Anu Laundry Services","090662 40558","Silicon Town, Dhodnamangla, Bengaluru, Karnataka 560099","4.7","81","Services: Quilt cleaning,Delivery,Dry cleaning,Ironing,Laundry pick-up,Laundry wash and fold,Self-service laundry,Special care fabric cleaning"
"Wash n Wear - Laundry in 1 hour","092430 80984","S 9, 80 Feet Rd, near Wipro Park, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560035","4.5","447","Services: Quilt cleaning,General clothes drying,Laundry wash and fold,Self-service laundry,Dry cleaning,Laundry pick-up,Bulk Wash,Bulk Washing Services,Express Laundry Service,Others Clean,Pick & Drop,Wash And Dry,Washed Clothes,Washing Services"
"Chamko Laundry","081973 78069","1/64, 5th Cross Road Achitnagar Soldevanhalli, Post office, near Achitnagar, Bengaluru, Karnataka 560107","4.7","276","Services: Laundry wash and fold,Self-service laundry,Delivery,Ironing Regular Wearables,Regular Wearables,Washing"
"Mummy's Laundry","095913 06330","ground floor, 202, 28th main, 7th Cross Rd, behind icici bank, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102","4.6","292","Services: Quilt cleaning,Dry cleaning,Ironing,Laundry wash and fold"
"Laundry Guru","063628 50839","1554, 11th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078","4.6","257","Services: Dry Clean,Blankets,Wash and Fold"
"THE LAUNDRY","N/A","Mahatma Gandhi Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560042","4.7","63","Services: Delivery,Wedding gown preservation,Bath Towel,Bed sheet,Cardigan/Shawl,Coat/Jacket,Curtain L,Curtain M,Curtain S,Curtain XL,Dhoti,Dress,Dupatta/Scarf,Duvet/Blanket L,Duvet/Blanket S,Hand Towel,Handkerchief,Kurta/Kurti,Kurta/Kurti/Pyjama,Kurta/Pyjama,Night Suit,Pullover,Pyjama,Salwar Kameez,Salwar/Kameez,Saree,Saree Cotton,Saree Designer,Sherwani Set,Shirt/T Shirt,Shirt/T-Shirt,Shorts,Socks,Suit 2 Pcs,Tie,Top/Blouse,Trouser,Trouser/Jeans,Trousers/Jeans,Under Garments,Wedding Dress"
"The Urban Laundry - Dryclean-Rolling and Ironing","063625 91993","17, 388/17, 19th H Main Rd, 1st Block, 1st N Block, Rajajinagar, Bengaluru, Karnataka 560010","4.7","81","Services: Ironing,General clothes drying,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Delivery,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Blankets & Curtains,Cleaning Agents,Cleaning Cleaning,Cleaning Clothes,Cleaning Garments,Cleaning Process,Cleaning Products,Cleaning Wash & Iron,Clothes Clean,Collect & Deliver,Curtains Cleaning,Custom Packaging,Deep Clean,Dry Cleaners,Dry Cleaning & Laundry,Dry Cleaning Service,Dry Cleaning Services In Bangalore,Dry Cleaning Wash,Express Services,Fabric Care,Home Linens,Home Washing,Household Item Cleaning,Kg Wash,Laundry & Ironing,Laundry And Dry,Laundry Detergent,Laundry Pickup And Delivery,Laundry Service In Bangalore,Laundry Washing Wash,Online Laundry Services,Organic Laundry,Post Inspection,Premium Dry Cleaning,Saree Cleaning,Saree Rolling,Shirt Service,Shoe Laundry,Soft Toys Cleaning,Sorting & Inspection,Specialized Cleaning,Specialized Services,Spot Cleaning,Stain Removal,Stain Removal Services,Stain Treatment,Steam Ironing,Wash & Fold,Wash & Steam Iron,Wash Laundry Services,Wash N Fold,Washing Machines,Washing Our Clothes,Washing Your Clothes,Wedding Dress Cleaning"
