"name","phoneNumber","address","rating","reviews","services"
"CLEAN WEEN LAUNDRY","092246 13717","Shop no.2, La View Tower, Bapurao Jagtap Marg, Kasturba Quarters, Jacob Circle, Mumbai, Maharashtra 400011","4.9","165","Services: Ironing,Clothing alterations & repairs,Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,General bedding cleaning,Laundry pick-up,Commercial service,Wedding gown preservation,Wedding dress cleaning,Petrol washing,Party dress cleaning,Baby clothes cleaning,Shoe and leather bag cleaning is done"
"Spin N Press - Dry Cleaning and Laundry Services","075060 91467","New Mahavir Building, 37A, No.6, Ridge Rd, Teen Batti, Malabar Hill, Mumbai, Maharashtra 400006","4.9","175","Services: Clothes pressing,Ironing,Laundry wash and fold,Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Carpets Dry Cleaned,Cleaning And Pressing,Cleaning Ironing,Cleaning Solutions,Clothes Dry Cleaned,Drop Services,Dropping Off,Dry Cleaning & Laundry,Express Drycleaning,Free Pick Up & Drop,Free Pickup,Free Pickup And Delivery,Free Pickup And Drop,Garment Care,Home Pick Up,Ironing Service,Party Dress,Pick Up And Delivery,Pickup And Deliver,Pickup And Delivery,Premier Dry Cleaning,Premium Dry Cleaning,Request Pickup,Roll Pressing,Saree Plain,Shoe & Bag Cleaning,Shoe Laundry,Shoes Dry Cleaning,Shoes Leather,Stain Removal,Sustainable Laundry,Wash And Fold Service"
"Dk laundry service & Dry Cleaners","077384 17417","Sagar kutir sangh, JP Rd, Aram Nagar, Seven Bunglow, Andheri West, Mumbai, Maharashtra 400061","4.9","166","Services: Quilt cleaning,Ironing,General clothes drying,Laundry wash and fold,Special care fabric cleaning,Leather and suede cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,Laundry pick-up,Wedding gown preservation"
"Sai Siddhi power laundry","098701 50632","Khairani Rd, Ladur Gomes Compound, Pereira Wadi, Saki Naka, Mumbai, Maharashtra 400072","4.8","93","Services: Ironing,Laundry wash and fold,Delivery,Dry cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation"
"The Dry Clean Company","077770 12344","Shop No : 167/4, SAWANT CHAWL, VN Purav Marg, MHADA Colony, Chunabhatti, Sion, Mumbai, Maharashtra 400022","4.9","169","Services: Industrial laundry,Eco-friendly cleaning,Organic dry cleaning,Quilt cleaning,Clothes pressing,Ironing,Clothing alterations & repairs,Laundry wash and fold,Carpet and rug cleaning,Couches/sofas,Special care fabric cleaning,Leather and suede cleaning,Jackets,Hat cleaning,Delivery,Online dry cleaner booking,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Wedding dress cleaning,Alterations & Repairs,Bag And Shoes Cleaning,Bank Transfer,Bed Cover Single,Bed Sheet Double,Bed Sheet Single,Bedding Dry Cleaning,Blanket Double,Blanket Service,Blanket Single,Carpet Cleaning,Clothing Care,Collection & Delivery,Commercial Laundry Service,Curtains Service,Darning Services,Deep Cleaning,Dry Cleaning & Laundry,Free Delivery,Dry Cleaning Cleaning,Express Delivery,Free Home Pickup,Free Pick Up And Delivery,Free Pickup & Delivery,Home Linen,Home Pickup,Iron And Fold,Ironing Dress,Jump Suit,Laundry Services Laundry,On Time Delivery,Party Wear,Pick Up And Delivery,Pickup And Deliver,Premium Dry Cleaning,Quilt Double,Quilt Single,Shirts Service,Shoe Repairs,Silk Saree,Sofa Cover,Stain Removal,Steam Iron,Trusted Laundry Service,Wash And Fold Laundry Service"
"Laundromania - Best Dry Cleaning & Laundry Services in Andheri/Oshiwara/Lokhandwala","093726 85866","Shop No. 2, Building No. 13, Andheri MHADA, Utsav CHS Ltd, New Link Rd, Andheri West, Mumbai, Maharashtra 400053","4.3","28","Services: Ironing,Clothing alterations & repairs,Laundry wash and fold,Special care fabric cleaning,Leather and suede cleaning,Dry cleaning,Laundry pick-up,Alteration,Bag Cleaning,Cleaning Agents,Cleaning Process,Darning,Fabric Washing,Free Pickup & Delivery,Free Pickup & Drop,Garments, Home Linen & Upholstery,Instant Service,Ironing Services,Laundry & Dry Cleaning,Leather Cleaning,Our Cleaning Service,Pick Up,Quick Wash,Shoe Cleaning Services,Shoes, Bags And Leather,Stain Removal,Steam Pressing,We Clean The Clothes,We Clean The Garments"
"Laundromania: Best Dry Cleaning & Laundry Services in Mahim/Dadar/Matunga","093726 85866","Shop no. 20, Udyog mandir gate, 1, Bhagoji Keer Marg, Mahim West, Mumbai, Maharashtra 400016","4.8","56","Services: Ironing,Clothing alterations & repairs,Laundry wash and fold,Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Leather and suede cleaning,Delivery,Dry cleaning,Alterations,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Alteration,Bag Cleaning,Customized Care,Darning,Darning, sofa cleaning, carpet cleaning, laundry, wash & fold, wash & iron,Express Dry,Fabric Washing,Free Pick Up,Free Pick Up And Drop,Free Pickup & Delivery,Free Pickup & Drop,Garments, Home Linen & Upholstery,Home Linen,Ironing Services,Laundry & Dry Cleaning,Leather Cleaning Services,Shoe Cleaning Services,Shoe cleaning,Shoes, Bags And Leather,Stain Removal,Steam Press,Steam Pressing,Sustainable Packing,Wash Care"
"Spin N Press - Dry Cleaning and Laundry Services","075060 91467","Shop no. 5, Ground Floor, Dilkoosha Apartments, Altamount Road Besides Roman Stores, Gowalia Tank, Cumballa Hill, Tardeo, Mumbai, Maharashtra 400026","4.6","63","Services: Clothes pressing,Ironing,Laundry wash and fold,Carpet and rug cleaning,Self-service laundry,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,Laundry pick-up,Bag Cleaning,Carpets Dry Cleaned,Cleaning And Pressing,Cleaning Ironing,Cleaning Services,Cleaning Solutions,Clothes Dry Cleaned,Deep Cleaning,Drop Services,Dropping Off,Dry Cleaning & Laundry,Express Dry Cleaning,Express Ironing,Free Pick Up & Drop,Free Pickup,Free Pickup And Delivery,Free Pickup And Drop,Garment Care,Home Delivery,Home Pick Up,Ironing Service,Kids Dress,Laundry Job,Laundry Services,Leather Shoes,Long Dress,On Time Delivery,Party Dress,Personalised Service,Pick Up And Delivery,Premier Dry Cleaning,Premium Dry Cleaning,Request Pickup,Roll Pressing,Saree Plain,Shoe & Bag Cleaning,Shoe Cleaning & Protection,Shoe Laundry,Shoes Dry Cleaning,Shoes Leather,Stain Removal,Sustainable Laundry,Wash & Fold"
"Closet Care Drycleaners","084510 00181","Shop No. 7, Madhurima CHS LTD, Bldg -1, Old D N Nagar, Andheri West, Mumbai, Maharashtra 400053","4.6","196","Services: Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Jackets,Delivery,Online dry cleaner booking,Drapery & window cover cleaning,Alterations,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Baggage Cleaning,Bed Sheet Single,Carpet Cleaning,Clothes Laundry,Cotton Saree,Curtain Cleaning,Doorstep Delivery,Dry Clean Laundry,Drycleaning Laundry,Garment Treatment,Home Services,Ironing Of Clothes,Laundry (Wash & Fold),Laundry (Wash+Iron),Leather Shoe Cleaning,Pick Up & Delivery,Retail Services,Shoe Laundry,Silk Saree,Sofa Cleaning,Sport Shoe Cleaning,Stain Removals,Steam Ironing"
"Tumbledry Dry Clean & Laundry Service","076772 50250","Shop No-3, Ground Floor, Vaibhav Mahim CHS, Plot-220/222, Swatantryaveer Savarkar Rd, near Hinduja Hospital, Mahim (W), Asavari, Mahim, Mumbai, Maharashtra 400016","5.0","81","N/A"
