"name","phoneNumber","address","rating","reviews","services"
"Tumbledry Dry Clean & Laundry Service","076772 50250","A-103, Supermart-1, DLF Phase IV, Gurugram, Haryana 122002","4.3","141","Services: Carpet and rug cleaning,Coat & jacket alterations,Special care fabric cleaning,Jackets,Dry cleaning,Laundry pick-up,Art Dry Cleaning,Bag Cleaning,Blanket & Quilt Dry Cleaning,Canvas Shoes Dry Cleaning,Carpet Cleaning,Carpet Dry Cleaning,Coat & Blazer Dry Cleaning,Color Enhancement After Dry Cleaning,Curtain & Blinds Dry Cleaning,Curtain Dry Cleaning Service,Curtain Ring Replacement,Customized Treatment,Damaged Collar Replacement,Darning,Deep Cleaning,Dry Cleaning & Laundry,Dry Cleaning Facility,Free Pickup,Hand Bag Dry Cleaning,Haute Couture Dry Cleaning,Heel Replacement,Inner Lining Replacement,Inner Sole Replacement,Jacket Dry Cleaning,Laces Replacement,Leather & Suede,Leather & Suede Shoes Dry Cleaning,Leather Bag Dry Cleaning,Leather Dry Cleaning,Lehenga & Bridal Wear Dry Cleaning,Packing,Re Coloring,Saree Dry Cleaning,Silk Sarees,Soft Toys Dry Cleaning,Sole Pasting,Sorting & Inspection,Sport Shoes Dry Cleaning,Stain Removal,Stain Treatment,Steam Iron,Whitening After Dry Cleaning,Women Kurta & Salwar Dry Cleaning,Woolen & Shawl Dry Cleaning,Woolen Garments,Woolens Dry Cleaning"
"Blaundry&dryclean","082878 31818","Shop No. 501, near Mata Chouk, Wazirabad, Sector 52, Gurugram, Haryana 122003","4.9","147","Services: Industrial laundry,Laundry wash and fold,Self-service laundry,Delivery,Laundry pick-up,Dry Cleaning (Accessories) &nbsp;20 - 599 (per Item),Antiseptic Wash,Blanket Double,Blanket Single,Carpet Dry Clean,Clean Your,Corporate Laundry,Customized Laundry,Deliver Clothes,Delivery Picking & Dropping,Door Delivery,Doorstep Pickup,Doorstep Pickup And Delivery,Dry Clean Wash,Dry Cleaning & Laundry,Dry Cleaning & Laundry Services,Dry Cleaning (Accessories) 20 - 599 (per Item),Dry cleaning services,Dryclean Services,Express Laundry wash and iron,Express Wash,Free Pickup & Delivery,Home Cleaning,Home Delivery,Household Laundry,Household Services,Hygienic Laundry,Iron & Laundry,Laundry & Dryclean,Laundry And Dry Cleaning Services,Laundry Wash,Laundry wash and iron,Online booking,Pickup And Delivery,Pickup Picking & Dropping,Premium Dry Cleaning,Premium Laundry,Quick Services,Quilt Cover,Services Book,Shoes Dry Cleaning,Sofa Dry Clean,Spot Removal,Super Express Wash & Fold,Super Express Wash & Iron,Wash & Fold,Wash & Steam Iron"
"UClean Laundry| Dry Cleaning| Shoe Cleaning","099997 59911","Shop 245, Central Arcade, DLF Phase 2, Sector 25, Gurugram, Sarhol, Haryana 122008","4.8","89","Services: Quilt cleaning,Ironing,General clothes drying,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,100% Sanitized Clothes,Bag Cleaning,Bulk Washing,Car Cleaning,Carpet Cleaning,Cleaning And Disinfecting,Cleaning Process,Cleaning Up,Clothes Cleaned,Curtain Cleaning,Custom Packaging Fold Or Hang,Doorstep Pick Up And Drop,Drapes Clean,Dry Cleaners,Emergency Service,Express Service,Green Certified Detergents,Home Cleaning Services,Ironing Clothes,Kg Wash,Laundry & Dry Cleaning,Laundry By Kg,Laundry By Kilo,Laundry Process,Laundry Wash And Fold,Laundry Wash And Iron,Live Laundry,Normal Cleaning,On Demand Service Also Available,Personalized Care,Pickup & Drop,Premium Laundry,Quick Service,Safe Service,Shoe Cleaning,Sofa Cleaning,Stain Removal,Stain Treatment,Steam Sterilization,Vacuum Steam Iron,Wash & Fold (By Kg),Wash & Iron (By Kg),Wash My Clothes,Washing Machine,Washing Process,Water Cleaning"
"MR & MRS LAUNDRY dryclean","090501 06849","Gurudwara lane, Shaheed Major Vikas Yadav Marg, near Village bistro, near Hk tower, Sector 39, Gurugram, Haryana 122003","4.8","44","Services: Clothing alterations & repairs,Quilt cleaning,Delivery,Drapery & window cover cleaning,Dry cleaning,General bedding cleaning,General clothes drying,Ironing,Laundry pick-up,Laundry wash and fold,Leather and suede cleaning,Special care fabric cleaning,Wedding gown preservation,Home cleaning service,Home care service,Car washing service"
"mr. blue","095559 00059","Eros City Square Mall, 43, Ground Floor, Rosewood City Rd, Gurugram, Haryana 122018","4.7","122","Services: Quilt cleaning,Ironing,General clothes drying,Clothing alterations & repairs,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Bag Cleaning,Car Cleaning,Carpet Cleaning,Clean Your Clothes,Collected & Delivered,Commercial Service,Deep Cleaning,Dry Cleaning Business,Home Cleaning,Laundry & Dry Cleaning Service,Laundry By Kg,Leather Cleaning,Mattress Cleaning,Organic Laundry,Pick Up & Delivery,Pickup Service,Shoe Cleaning,Sofa Cleaning"
"Fabklean - Laundry l Dry Clean","088823 88375","shop no 43, Fabklean- laundry & Dry Clean, Huda Market, Sector 40, Gurugram, Haryana 122001","4.4","77","Services: Clothes pressing,Ironing,Laundry wash and fold,Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Leather and suede cleaning,Jackets,Delivery,Dry cleaning,General bedding cleaning,Laundry pick-up,Blanket Double,Blanket Heavy,Blanket Single,Blazer,Carpet Cleaning,Cleaning And Ironing,Cleaning Services,Curtain Dry Cleaning,Home Linen,Ironed Clothes,Laundry & Dry Cleaning,Lehenga,Lehenga Bridal,Premium Laundry,Saree Heavy,Saree Plain,Shoe Cleaning Services,Sofa Cleaning Services,Trouser,Wash & Fold,Wash & Steam Iron"
"Urban Dry Cleaners - Laundry & Drycleaning service","095608 74325","Plot no.2826, Shop no. 9, Tower-A, Om apartments, DLF Phase IV, Gurugram, Haryana 122002","4.8","103","Services: Laundry wash and fold,Self-service laundry,Leather and suede cleaning,Dry cleaning,laundry service,Area rug cleaning,General carpet cleaning,Upholstery cleaning,Drapes and curtain cleaning"
"The Clean Club","096544 99802","24, Noble Enclave, Palam Vihar Extension, Gurugram, Haryana 122015","4.8","110","Services: Ironing,Clothing alterations & repairs,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up"
"Tooler Laundry Cleaning","083687 66820","1507, Jal Vihar, Jal Vihar Colony, Sector 46, Gurugram, Haryana 122003","4.6","131","Services: Clothes pressing,Laundry wash and fold,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Jackets,Dry cleaning,Drapery & window cover cleaning,Laundry pick-up,Wedding gown preservation"
"My Drycleaners and Laundry","070655 56555","Plot 2519A, mall, opposite Gold Souk, Sec-43, Block C, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122003","4.5","65","Services: General bedding cleaning,Laundry pick-up,Coat & jacket alterations,Delivery,Dry cleaning,Ironing,Self-service laundry,Special care fabric cleaning,Laundry wash and fold,Wedding gown preservation"
